,Descargá este archivo para editar haciendo click en Archivo/Descargar/Descargar como Excel,Lista de Precios,,,,Coef.costo,"0,63000",,Bonficacion General,"30,00 %"
,,,,,,Aumento,,,Descuento de Caja,"10,00 %"
,,Cotizador General,,,,Margen,,,IVA,
,,,,,,Coef./vta,"1,00000",,Descuento Extra,
,,1 de abril de 2026,,,,COTIZADOR,,,Total,"0,00"
Cód.,Rubro,Detalle Patron,Detalle Artículo,Precio,,Dto Extra,Costo,Venta,Cant.,SubTotal
92536,A01 AWADUCT SIST,ACC. RIGID,TAPA HEMBRA 110 AWADUCT,"2972,54",,,"1872,70","1.872,70",,"0,00"
92560,A01 AWADUCT SIST,ACC. RIGID,BOCA ACCESO HORIZ E63 INTEMP,"7608,84",,,"4793,57","4.793,57",,"0,00"
92562,A01 AWADUCT SIST,ACC. RIGID,PILETA BALCON Y DUCHA 63 (M),"6388,88",,,"4024,99","4.024,99",,"0,00"
92564,A01 AWADUCT SIST,ACC. RIGID,TAPA INSPECCION (M) 110,"6522,71",,,"4109,31","4.109,31",,"0,00"
94570,A01 AWADUCT SIST,ACC. RIGID,GRAPA FIJA/DESL 110 INTEMPERIE,"1201,14",,,"756,72","756,72",,"0,00"
92601,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 45º MH 58,"4839,63",,,"3048,97","3.048,97",,"0,00"
92604,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 45º MH 110,"11424,23",,,"7197,26","7.197,26",,"0,00"
92605,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 87º30' MH 58,"4839,63",,,"3048,97","3.048,97",,"0,00"
92608,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,CODO 90º MH 110,"12687,78",,,"7993,30","7.993,30",,"0,00"
92610,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,MANGUITO 58,"6319,46",,,"3981,26","3.981,26",,"0,00"
92614,A01 AWADUCT SIST,ACCESORIOS ACUSTIK, TRANSICION C/EMBUDO HF 58,"6319,41",,,"3981,23","3.981,23",,"0,00"
92615,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,TRANSICION C/EMBUDO HF 110,"15745,03",,,"9919,37","9.919,37",,"0,00"
92616,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,MANGUITO 110,"14583,48",,,"9187,59","9.187,59",,"0,00"
92618,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL 87º30' MH 110X63,"31687,98",,,"19963,43","19.963,43",,"0,00"
92620,A01 AWADUCT SIST,ACCESORIOS ACUSTIK,RAMAL SIMP. 45º (MH) 58x58,"11526,11",,,"7261,45","7.261,45",,"0,00"
